episode,length,time,reward,delta
424,37.0,0.0026849999994738027,-2.700000000000002,0.5323104942618917
425,14.0,0.0010529999999562278,-0.40000000000000013,0.47907944483570253
426,22.0,0.001693999998678919,-1.2000000000000006,0.48098949532748303
427,17.0,0.0015340000009018695,-0.7000000000000004,0.43289054579473474
428,28.0,0.001930000000356813,-1.8000000000000012,0.3896014912152612
429,42.0,0.002845000000888831,-3.200000000000001,0.3506413420937351
430,21.0,0.001720000000204891,-1.1000000000000005,0.39439344977121926
431,31.0,0.0030090000000200234,-2.1000000000000014,0.3549541047940974
432,31.0,0.0023419999997713603,-2.1000000000000014,0.31945869431468765
433,40.0,0.0036110000000917353,-104.0,-89.98074
434,19.0,0.0018999999992956873,-0.9000000000000006,0.42273975493981275
435,34.0,0.0033450000009906944,-2.4000000000000017,0.3804657794458315
436,150.0,0.01202499999999418,-13.999999999999963,0.7757171232663588
437,27.0,0.002581000000645872,-102.7,-76.7589721601164
438,27.0,0.0020569999996951083,-1.700000000000001,0.3424192015012484
439,119.0,0.008398999998462386,-111.89999999999998,-99.62761749701448
440,28.0,0.0018140000011044322,-1.8000000000000012,0.30817728135112354
441,31.0,0.00238800000079209,-2.1000000000000014,0.6981454109397229
442,18.0,0.0011960000010731164,-0.8000000000000005,0.27735955321601113
